               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12471,            0.030174,                   0,            0.019543,            0.066667,           0.0026955,          0.00032783,            0.081892,            0.025878,                   0,               3e-05,               3e-05,             0.09973
                   1,              0.1242,            0.028113,                   0,            0.028801,            0.066667,           0.0033132,          0.00040544,            0.079144,            0.022957,                   0,          6.9984e-05,          6.9984e-05,             0.09937
                   2,             0.11645,            0.027483,                   0,            0.031238,            0.066667,           0.0039614,          0.00042194,            0.076256,             0.02106,                   0,           0.0001099,           0.0001099,             0.09901
                   3,             0.10706,            0.025514,                   0,             0.64833,             0.13333,            0.092909,            0.011668,            0.073563,            0.018146,                   0,           0.0001497,           0.0001497,             0.09865
                   4,             0.10116,            0.025706,                   0,           0.0040751,             0.26667,           0.0025969,          0.00032351,            0.064965,             0.01803,                   0,          0.00018933,          0.00018933,            0.098289
                   5,            0.096418,            0.024526,                   0,            0.029086,             0.13333,            0.007807,           0.0030507,            0.066798,             0.01494,                   0,          0.00022873,          0.00022873,            0.097929
                   6,            0.088804,            0.024823,                   0,             0.48438,            0.066667,            0.072457,           0.0076541,            0.062987,            0.014639,                   0,          0.00026785,          0.00026785,            0.097568
                   7,            0.086476,            0.025755,                   0,           0.0043863,             0.13333,           0.0030711,          0.00060916,            0.057996,            0.014947,                   0,          0.00030664,          0.00030664,            0.097207
                   8,            0.083704,            0.024323,                   0,           0.0073483,             0.13333,           0.0047102,          0.00066892,            0.061168,            0.014211,                   0,          0.00034505,          0.00034505,            0.096845
                   9,            0.082341,            0.025562,                   0,             0.24988,             0.33333,             0.12828,            0.017306,            0.057212,            0.012702,                   0,          0.00038303,          0.00038303,            0.096483
                  10,            0.079607,            0.026544,                   0,             0.15315,             0.53333,               0.107,            0.027241,            0.055857,            0.012876,                   0,          0.00042053,          0.00042053,            0.096121
                  11,            0.075409,            0.025114,                   0,             0.11849,             0.66667,            0.094473,            0.017747,            0.052676,            0.012623,                   0,           0.0004575,           0.0004575,            0.095757
                  12,            0.072362,             0.02737,                   0,             0.28936,             0.53333,             0.24221,            0.074801,            0.056998,             0.01191,                   0,          0.00049388,          0.00049388,            0.095394
                  13,            0.070894,            0.026502,                   0,             0.45334,             0.33333,              0.3575,             0.10871,            0.047752,            0.011855,                   0,          0.00052964,          0.00052964,             0.09503
                  14,            0.070875,             0.02528,                   0,             0.57911,             0.46667,              0.4318,              0.1374,            0.052372,            0.010832,                   0,          0.00056473,          0.00056473,            0.094665
                  15,            0.069662,            0.025388,                   0,             0.24221,             0.72465,             0.30605,            0.054291,             0.04907,            0.010885,                   0,           0.0005991,           0.0005991,            0.094299
                  16,            0.066697,            0.026871,                   0,             0.79358,             0.26667,             0.38928,             0.10533,            0.045802,            0.010784,                   0,          0.00063271,          0.00063271,            0.093933
                  17,            0.065914,            0.024051,                   0,             0.62894,             0.46667,             0.48758,              0.1212,            0.043433,            0.010643,                   0,          0.00066551,          0.00066551,            0.093566
                  18,            0.066509,            0.023415,                   0,             0.66554,             0.66667,             0.68839,             0.16125,            0.040008,             0.01047,                   0,          0.00069746,          0.00069746,            0.093197
                  19,            0.064184,            0.023713,                   0,             0.44437,             0.53333,              0.4882,             0.15801,            0.034204,             0.01047,                   0,          0.00072853,          0.00072853,            0.092829
                  20,            0.064737,            0.022109,                   0,              0.4999,             0.73333,             0.51178,             0.17673,            0.036683,            0.010715,                   0,          0.00075867,          0.00075867,            0.092459
                  21,            0.059632,            0.022873,                   0,             0.49993,             0.66667,              0.5461,            0.078259,            0.039614,            0.010352,                   0,          0.00078785,          0.00078785,            0.092088
                  22,            0.058544,             0.02204,                   0,             0.68583,             0.73333,             0.68846,             0.17223,            0.036683,            0.010076,                   0,          0.00081603,          0.00081603,            0.091716
                  23,             0.05897,            0.021443,                   0,             0.64449,             0.73333,             0.57476,             0.16157,            0.038261,           0.0097694,                   0,          0.00084317,          0.00084317,            0.091343
                  24,             0.05541,            0.023008,                   0,             0.69817,             0.93333,             0.82952,             0.29558,            0.040476,           0.0096802,                   0,          0.00086926,          0.00086926,            0.090969
                  25,            0.057619,            0.021358,                   0,             0.91274,             0.73333,             0.77579,             0.19492,            0.034522,           0.0092598,                   0,          0.00089424,          0.00089424,            0.090594
                  26,            0.055142,            0.022001,                   0,             0.56155,                 0.6,             0.47873,             0.16031,            0.036191,            0.008941,                   0,          0.00091811,          0.00091811,            0.090218
                  27,             0.05556,            0.019565,                   0,             0.84487,             0.73333,              0.8411,             0.36447,             0.03094,           0.0083655,                   0,          0.00094083,          0.00094083,            0.089841
                  28,             0.05375,            0.020693,                   0,             0.88983,                 0.6,             0.78584,             0.21292,            0.032156,           0.0084027,                   0,          0.00096237,          0.00096237,            0.089462
                  29,            0.050773,            0.019891,                   0,             0.68727,             0.73333,             0.62827,             0.19622,            0.046329,           0.0084233,                   0,          0.00098271,          0.00098271,            0.089083
                  30,            0.051412,            0.021154,                   0,             0.99599,                 0.6,             0.73737,             0.20935,            0.040163,           0.0084323,                   0,           0.0010018,           0.0010018,            0.088702
                  31,            0.053445,             0.02023,                   0,             0.77742,             0.93333,             0.90563,             0.32382,            0.031405,           0.0077146,                   0,           0.0010197,           0.0010197,             0.08832
                  32,            0.050482,             0.02001,                   0,             0.71338,                   1,             0.87186,             0.33096,            0.027346,           0.0073167,                   0,           0.0010364,           0.0010364,            0.087936
                  33,            0.049518,            0.017729,                   0,                   1,             0.86448,             0.93493,             0.35056,            0.026565,           0.0071388,                   0,           0.0010517,           0.0010517,            0.087552
                  34,             0.05111,            0.019066,                   0,                   1,             0.93251,               0.985,             0.52652,             0.02371,           0.0073729,                   0,           0.0010658,           0.0010658,            0.087166
                  35,            0.046658,            0.019221,                   0,             0.99766,             0.93333,             0.98794,             0.48637,            0.025838,           0.0070053,                   0,           0.0010786,           0.0010786,            0.086779
                  36,             0.04959,            0.017825,                   0,             0.82243,             0.93333,             0.89568,             0.37078,            0.028869,           0.0072238,                   0,           0.0010902,           0.0010902,             0.08639
                  37,            0.050727,            0.016714,                   0,              0.8084,             0.86667,             0.90521,             0.32363,            0.030105,           0.0073337,                   0,           0.0011004,           0.0011004,               0.086
                  38,            0.048613,            0.017387,                   0,             0.87493,             0.93276,             0.92154,             0.47585,            0.025339,           0.0074202,                   0,           0.0011093,           0.0011093,            0.085609
                  39,              0.0514,            0.018179,                   0,             0.99544,             0.86667,             0.96765,             0.43684,            0.024126,           0.0074611,                   0,           0.0011169,           0.0011169,            0.085217
                  40,            0.045497,            0.018311,                   0,             0.83283,                   1,              0.9431,             0.44624,            0.025141,           0.0065512,                   0,           0.0011232,           0.0011232,            0.084823
                  41,            0.048342,            0.018457,                   0,             0.71343,                   1,             0.86357,             0.37317,            0.027387,           0.0064305,                   0,           0.0011282,           0.0011282,            0.084428
                  42,            0.046025,            0.017782,                   0,              0.9332,             0.93333,             0.92946,             0.42479,            0.024056,           0.0063853,                   0,           0.0011319,           0.0011319,            0.084032
                  43,            0.047511,            0.015595,                   0,                   1,             0.99996,               0.995,             0.52875,            0.022413,           0.0069568,                   0,           0.0011343,           0.0011343,            0.083634
                  44,            0.046032,            0.017987,                   0,             0.99955,                   1,               0.995,             0.51526,            0.024284,            0.006026,                   0,           0.0011354,           0.0011354,            0.083235
                  45,            0.045835,            0.016348,                   0,              0.8331,                   1,                0.96,             0.45817,            0.023337,           0.0058739,                   0,           0.0011353,           0.0011353,            0.082835
                  46,            0.047573,            0.015385,                   0,              0.8819,                   1,             0.95618,             0.43399,            0.024072,           0.0059899,                   0,            0.001134,            0.001134,            0.082434
                  47,            0.045847,             0.01624,                   0,             0.87499,             0.93333,             0.86842,             0.40799,            0.026472,           0.0060522,                   0,           0.0011314,           0.0011314,            0.082031
                  48,            0.044806,            0.016266,                   0,             0.93686,                   1,             0.98688,             0.46395,            0.022924,           0.0059283,                   0,           0.0011276,           0.0011276,            0.081628
                  49,            0.046146,             0.01689,                   0,                   1,             0.99983,               0.995,             0.45789,            0.022396,           0.0055161,                   0,           0.0011226,           0.0011226,            0.081223
                  50,              0.0429,            0.016087,                   0,             0.82351,             0.93319,             0.89384,             0.42168,             0.02551,           0.0056544,                   0,           0.0011165,           0.0011165,            0.080816
                  51,             0.04384,            0.016296,                   0,              0.9373,                   1,             0.99125,              0.5315,            0.025049,           0.0057301,                   0,           0.0011092,           0.0011092,            0.080409
                  52,            0.043376,            0.015641,                   0,             0.99868,             0.93333,               0.985,             0.56348,            0.022432,            0.006097,                   0,           0.0011009,           0.0011009,            0.080001
                  53,            0.042281,            0.015011,                   0,                   1,             0.99992,               0.995,             0.45903,            0.024989,           0.0057857,                   0,           0.0010915,           0.0010915,            0.079591
                  54,            0.042454,            0.015283,                   0,             0.88233,              0.9998,             0.96527,             0.49004,            0.021856,           0.0054747,                   0,            0.001081,            0.001081,            0.079181
                  55,            0.043435,            0.015261,                   0,                   1,             0.99996,               0.995,             0.46664,            0.022797,           0.0052848,                   0,           0.0010695,           0.0010695,             0.07877
                  56,            0.041592,            0.014972,                   0,             0.88228,                   1,             0.92561,             0.42811,            0.022594,           0.0052822,                   0,           0.0010571,           0.0010571,            0.078357
                  57,            0.041777,            0.015283,                   0,             0.99977,                   1,               0.995,             0.50542,            0.021261,           0.0050993,                   0,           0.0010437,           0.0010437,            0.077944
                  58,            0.040194,            0.013564,                   0,             0.99995,                   1,               0.995,             0.55403,            0.023142,           0.0051653,                   0,           0.0010295,           0.0010295,             0.07753
                  59,             0.04061,            0.013875,                   0,             0.93731,                   1,             0.98688,             0.53333,            0.021373,           0.0050457,                   0,           0.0010144,           0.0010144,            0.077114
                  60,             0.04004,            0.014156,                   0,             0.99992,                   1,               0.995,             0.53038,            0.022778,           0.0048836,                   0,          0.00099859,          0.00099859,            0.076699
                  61,            0.040337,            0.014893,                   0,             0.88228,                   1,             0.96527,             0.58815,            0.022089,           0.0047435,                   0,          0.00098199,          0.00098199,            0.076282
                  62,            0.038341,            0.013157,                   0,             0.99979,                   1,               0.995,             0.58945,             0.02251,           0.0045981,                   0,           0.0009647,           0.0009647,            0.075865
                  63,            0.042182,            0.013983,                   0,             0.99996,                   1,               0.995,             0.61653,            0.019765,           0.0046328,                   0,          0.00094677,          0.00094677,            0.075447
                  64,            0.039182,            0.014481,                   0,             0.99996,                   1,               0.995,              0.5545,            0.021235,           0.0046311,                   0,          0.00092825,          0.00092825,            0.075028
                  65,            0.042507,            0.013315,                   0,             0.99991,                   1,               0.995,             0.56336,            0.020079,           0.0049856,                   0,           0.0009092,           0.0009092,            0.074609
                  66,            0.038239,            0.014462,                   0,             0.99989,                   1,               0.995,             0.51581,            0.018971,           0.0048027,                   0,          0.00088967,          0.00088967,             0.07419
                  67,            0.042349,            0.014796,                   0,             0.99988,                   1,               0.995,             0.59755,            0.019059,           0.0045782,                   0,          0.00086972,          0.00086972,             0.07377
                  68,            0.039361,            0.014235,                   0,             0.99995,                   1,               0.995,             0.55614,            0.021443,           0.0045721,                   0,          0.00084941,          0.00084941,            0.073349
                  69,            0.039507,            0.013965,                   0,              0.9332,             0.93333,             0.92964,             0.54612,             0.02214,           0.0048597,                   0,           0.0008288,           0.0008288,            0.072929
                  70,            0.034761,            0.014028,                   0,             0.99999,                   1,               0.995,             0.56994,            0.020382,           0.0049367,                   0,          0.00080796,          0.00080796,            0.072508
                  71,            0.037556,            0.013064,                   0,             0.93314,             0.93333,             0.94003,             0.55405,             0.02164,           0.0049249,                   0,          0.00078693,          0.00078693,            0.072087
                  72,              0.0335,            0.013471,                   0,             0.99983,                   1,               0.995,             0.52255,            0.019934,           0.0049269,                   0,          0.00076579,          0.00076579,            0.071666
                  73,            0.037569,            0.012328,                   0,             0.99993,                   1,               0.995,             0.55093,            0.018529,             0.00486,                   0,          0.00074461,          0.00074461,            0.071245
                  74,            0.037932,             0.01177,                   0,             0.99997,                   1,               0.995,             0.56025,            0.020055,           0.0046695,                   0,          0.00072344,          0.00072344,            0.070823
                  75,            0.036224,            0.013388,                   0,             0.93333,             0.93333,             0.93028,             0.55678,            0.022808,           0.0043229,                   0,          0.00070236,          0.00070236,            0.070402
                  76,            0.036277,            0.013877,                   0,             0.99996,                   1,               0.995,             0.59993,            0.020405,           0.0044476,                   0,          0.00068143,          0.00068143,            0.069981
                  77,            0.034975,            0.012333,                   0,             0.99994,                   1,               0.995,             0.56074,            0.020278,           0.0044302,                   0,          0.00066072,          0.00066072,            0.069561
                  78,            0.035617,            0.012995,                   0,             0.99999,                   1,               0.995,             0.50733,            0.020536,           0.0043875,                   0,           0.0006403,           0.0006403,             0.06914
                  79,             0.03737,            0.013165,                   0,             0.99991,                   1,               0.995,             0.57799,            0.018847,           0.0042375,                   0,          0.00062023,          0.00062023,             0.06872
                  80,            0.034474,            0.012687,                   0,             0.99989,                   1,               0.995,             0.62811,            0.018365,           0.0042321,                   0,          0.00060059,          0.00060059,            0.068301
                  81,            0.034769,             0.01229,                   0,             0.99992,                   1,               0.995,             0.59472,            0.018801,           0.0043446,                   0,          0.00058145,          0.00058145,            0.067881
                  82,            0.032429,            0.013526,                   0,             0.99994,                   1,               0.995,             0.63886,            0.017614,           0.0042958,                   0,          0.00056287,          0.00056287,            0.067463
                  83,            0.035036,             0.01271,                   0,             0.99996,                   1,               0.995,             0.60775,            0.018623,           0.0042221,                   0,          0.00054493,          0.00054493,            0.067045
                  84,            0.035372,            0.012716,                   0,             0.99999,                   1,               0.995,             0.63062,            0.016973,            0.004141,                   0,          0.00052769,          0.00052769,            0.066628
                  85,            0.032246,            0.012831,                   0,             0.99996,                   1,               0.995,             0.64259,            0.019111,           0.0041191,                   0,          0.00051123,          0.00051123,            0.066211
                  86,            0.035163,            0.012847,                   0,              0.9999,                   1,               0.995,             0.61833,             0.02029,           0.0040454,                   0,          0.00049561,          0.00049561,            0.065796
                  87,            0.032426,            0.012518,                   0,             0.99993,                   1,               0.995,             0.62843,            0.018551,           0.0043257,                   0,          0.00048091,          0.00048091,            0.065381
                  88,            0.032344,             0.01179,                   0,              0.9999,                   1,               0.995,             0.57527,            0.018321,           0.0045002,                   0,          0.00046718,          0.00046718,            0.064967
                  89,            0.032272,            0.013431,                   0,             0.99988,                   1,               0.995,             0.64334,            0.017154,           0.0042793,                   0,          0.00045451,          0.00045451,            0.064555
                  90,            0.033143,            0.012476,                   0,                   1,             0.99996,               0.995,             0.59716,             0.01939,           0.0042261,                   0,          0.00044295,          0.00044295,            0.064143
                  91,            0.032569,            0.012356,                   0,             0.99996,                   1,               0.995,             0.64751,            0.017886,           0.0040269,                   0,          0.00043257,          0.00043257,            0.063733
                  92,            0.032954,            0.013897,                   0,             0.99993,                   1,               0.995,              0.6177,            0.018346,           0.0040366,                   0,          0.00042345,          0.00042345,            0.063323
                  93,            0.033735,            0.012229,                   0,             0.99989,                   1,               0.995,             0.58178,            0.019465,           0.0040143,                   0,          0.00041564,          0.00041564,            0.062916
                  94,            0.033107,            0.011165,                   0,             0.99994,                   1,               0.995,             0.62133,            0.018643,           0.0041591,                   0,          0.00040921,          0.00040921,            0.062509
                  95,             0.03181,            0.012743,                   0,             0.99997,                   1,               0.995,             0.61258,            0.017596,           0.0042381,                   0,          0.00040422,          0.00040422,            0.062104
                  96,            0.032722,            0.012822,                   0,             0.99999,                   1,               0.995,             0.66782,            0.016752,           0.0042406,                   0,          0.00040073,          0.00040073,            0.061701
                  97,            0.033763,            0.012132,                   0,             0.99998,                   1,               0.995,             0.64997,            0.016613,           0.0042255,                   0,          0.00039881,          0.00039881,            0.061299
                  98,            0.031354,            0.012728,                   0,             0.99991,                   1,               0.995,             0.62765,            0.017361,           0.0042071,                   0,          0.00039851,          0.00039851,            0.060899
                  99,             0.03267,            0.012293,                   0,             0.99999,                   1,               0.995,             0.63669,            0.017511,             0.00416,                   0,          0.00039989,          0.00039989,              0.0605
